personalService,control,financialRiskB,partAndParcel,businessStructure,finalDecision
Medium,Medium,Low,High,Low,InIR35,TRUE
Medium,Medium,Low,High,Medium,InIR35,TRUE
Medium,Medium,Low,High,High,unknown,TRUE
Medium,Medium,Low,Medium,Low,InIR35,TRUE
Medium,Medium,Low,Medium,Medium,unknown,TRUE
Medium,Medium,Low,Medium,High,unknown,TRUE
Medium,Medium,Low,Low,Low,InIR35,TRUE
Medium,Medium,Low,Low,Medium,unknown,TRUE
Medium,Medium,Low,Low,High,OutOfIR35,TRUE
Medium,High,Low,Low,Low,InIR35,TRUE
Medium,High,Low,Low,Medium,InIR35,TRUE
Medium,High,Low,Low,High,InIR35,TRUE
Medium,High,Low,Medium,Low,InIR35,TRUE
Medium,High,Low,Medium,Medium,InIR35,TRUE
Medium,High,Low,Medium,High,unknown,TRUE
Medium,High,Low,High,Low,InIR35,TRUE
Medium,High,Low,High,Medium,InIR35,TRUE
Medium,High,Low,High,High,unknown,TRUE
High,Medium,Low,Low,Low,InIR35,TRUE
High,Medium,Low,Low,Medium,InIR35,TRUE
High,Medium,Low,Low,High,unknown,TRUE
High,Medium,Low,Medium,Low,InIR35,TRUE
High,Medium,Low,Medium,Medium,InIR35,TRUE
High,Medium,Low,Medium,High,unknown,TRUE
High,Medium,Low,High,Low,InIR35,TRUE
High,Medium,Low,High,Medium,InIR35,TRUE
High,Medium,Low,High,High,unknown,TRUE
High,High,Low,Low,Low,InIR35,TRUE
High,High,Low,Low,Medium,InIR35,TRUE
High,High,Low,Low,High,unknown,TRUE
High,High,Low,Medium,Low,InIR35,TRUE
High,High,Low,Medium,Medium,InIR35,TRUE
High,High,Low,Medium,High,InIR35,TRUE
High,High,Low,High,Low,InIR35,TRUE
High,High,Low,High,Medium,InIR35,TRUE
High,High,Low,High,High,InIR35,TRUE
High,Medium,,Low,Low,InIR35,TRUE
High,Medium,,Low,Medium,unknown,TRUE
High,Medium,,Low,High,OutOfIR35,TRUE
High,Medium,,Medium,Low,InIR35,TRUE
High,Medium,,Medium,Medium,unknown,TRUE
Medium,High,,Low,Low,InIR35,TRUE
Medium,High,,Low,Medium,InIR35,TRUE
Medium,High,,Low,High,unknown,TRUE
Medium,High,,Medium,Low,InIR35,TRUE
Medium,High,,Medium,Medium,unknown,TRUE
Medium,High,,Medium,High,unknown,TRUE
Medium,High,,High,Low,InIR35,TRUE
Medium,High,,High,Medium,InIR35,TRUE
Medium,High,,High,High,unknown,TRUE
Medium,Medium,,Low,Low,unknown,TRUE
Medium,Medium,,Low,Medium,OutOfIR35,TRUE
Medium,Medium,,Low,High,OutOfIR35,TRUE
Medium,Medium,,Medium,Low,unknown,TRUE
Medium,Medium,,Medium,Medium,unknown,TRUE
Medium,Medium,,Medium,High,unknown,TRUE
Medium,Medium,,High,Low,InIR35,TRUE
Medium,Medium,,High,Medium,InIR35,TRUE
Medium,Medium,,High,High,unknown,TRUE
High,Medium,,Medium,High,unknown,TRUE
High,Medium,,High,Low,InIR35,TRUE
High,Medium,,High,Medium,InIR35,TRUE
High,Medium,,High,High,unknown,TRUE
High,High,,Low,Low,InIR35,TRUE
High,High,,Low,Medium,InIR35,TRUE
High,High,,Low,High,unknown,TRUE
High,High,,Medium,Low,InIR35,TRUE
High,High,,Medium,Medium,InIR35,TRUE
High,High,,Medium,High,unknown,TRUE
High,High,,High,Low,InIR35,TRUE
High,High,,High,Medium,InIR35,TRUE
High,High,,High,High,unknown,TRUE
High,Medium,,Medium,Medium,unknown,TRUE
High,High,High,,,OutOfIR35,TRUE
Medium,High,High,,,OutOfIR35,TRUE
High,Low,,,,OutOfIR35,TRUE
High,Medium,High,,,OutOfIR35,TRUE
Medium,Low,,,,OutOfIR35,TRUE
Medium,Medium,High,,,OutOfIR35,TRUE
