workerPaidInclusive,workerNeedConsumablesMaterials,workerProvideConsumablesMaterials,engagerPayConsumables,workerNeedEquipment,workerProvideEquipment,engagerPayEquipment,CarryOverValue,Exit,CarryOverFactName
YES,,,,,,,OutOfIR35,TRUE,
NO,YES,YES,YES,YES,YES,YES,LOW,FALSE,financialRisk
NO,YES,YES,YES,YES,YES,NO,OutOfIR35,TRUE,
NO,YES,YES,YES,YES,NO,,LOW,FALSE,financialRisk
NO,YES,YES,YES,NO,,,LOW,FALSE,financialRisk
NO,YES,YES,NO,,,,OutOfIR35,TRUE,
NO,YES,NO,,YES,YES,YES,LOW,FALSE,financialRisk
NO,YES,NO,,YES,YES,NO,OutOfIR35,TRUE,
NO,YES,NO,,YES,NO,,LOW,FALSE,financialRisk
NO,YES,NO,,NO,,,LOW,FALSE,financialRisk
NO,NO,,,YES,YES,YES,LOW,FALSE,financialRisk
NO,NO,,,YES,YES,NO,OutOfIR35,TRUE,
NO,NO,,,YES,NO,,LOW,FALSE,financialRisk
NO,NO,,,NO,,,LOW,FALSE,financialRisk
NO,YES,NO,,NO,,,LOW,FALSE,financialRisk
NO,NO,,,YES,YES,YES,LOW,FALSE,financialRisk
NO,NO,,,YES,YES,NO,OutOfIR35,TRUE,
NO,NO,,,YES,NO,,LOW,FALSE,financialRisk
NO,NO,,,NO,,,LOW,FALSE,financialRisk
