workerPaidInclusive,workerneedConsumablesMaterials,workerProvideConsumablesMaterials,engagerPayConsumables,workerNeedEquipment,workerProvideEquipment,engagerPayEquipment,CarryOverValue,Exit,CarryOverFactName
YES,,,,,,,OutOfIR35,TRUE,
NO,YES,YES,YES,YES,YES,YES,,FALSE,financialRisk
NO,YES,YES,YES,YES,YES,NO,OutOfIR35,TRUE,
NO,YES,YES,YES,YES,NO,,,FALSE,financialRisk
NO,YES,YES,YES,NO,,,,FALSE,financialRisk
NO,YES,YES,NO,,,,OutOfIR35,TRUE,
NO,YES,NO,,YES,YES,YES,,FALSE,financialRisk
NO,YES,NO,,YES,YES,NO,OutOfIR35,TRUE,
NO,YES,NO,,YES,NO,,,FALSE,financialRisk
NO,YES,NO,,NO,,,,FALSE,financialRisk
NO,NO,,,YES,YES,YES,,FALSE,financialRisk
NO,NO,,,YES,YES,NO,OutOfIR35,TRUE,
NO,NO,,,YES,NO,,,FALSE,financialRisk
NO,NO,,,NO,,,,FALSE,financialRisk
NO,YES,NO,,NO,,,,FALSE,financialRisk
NO,NO,,,YES,YES,YES,,FALSE,financialRisk
NO,NO,,,YES,YES,NO,OutOfIR35,TRUE,
NO,NO,,,YES,NO,,,FALSE,financialRisk
NO,NO,,,NO,,,,FALSE,financialRisk
